u	v	length
60	4327	39.386
61	29836	233.943
61	21403	81.379
62	44222	223.957
62	47703	87.39200000000001
63	25088	49.966
63	61	86.834
64	51616	82.538
64	37936	79.145
64	4835	176.114
65	11678	77.911
65	62	199.772
66	8399	81.916
66	65	265.315
66	47708	80.119
67	29366	232.872
67	63	86.83
68	14482	98.639
68	42043	119.823
68	35229	122.613
68	51616	81.285
69	53821	133.708
69	66	133.154
70	70	202.266
70	67	99.684
71	70	99.08800000000001
72	5460	128.925
72	36600	40.749
72	23458	52.68300000000001
73	11654	239.413
73	11656	263.45799999999997
73	50163	105.89800000000001
74	71	99.33399999999999
74	28547	92.656
75	4753	233.78500000000003
75	74	99.222
76	50703	275.204
76	77	57.526
76	23458	37.077
77	1951	37.217
77	54927	28.963
77	76	57.526
78	11720	178.687
78	80	83.691
78	40562	81.866
79	28549	92.919
79	75	99.556
79	29468	233.81199999999998
80	11723	152.445
80	48132	107.333
80	78	83.69099999999999
81	50704	200.987
81	83	97.209
81	54927	11.862
82	79	93.956
82	5032	234.12800000000001
83	50705	120.673
83	81	97.209
83	41779	345.051
83	87	76.53399999999999
84	4654	233.72899999999998
84	4652	234.298
84	9661	23.259999999999998
85	36118	80.979
85	5034	234.54100000000003
86	24324	234.053
86	85	93.513
87	41779	252.05200000000002
87	50711	25.741
87	83	76.53399999999999
88	2339	234.049
88	86	99.765
89	38111	11.454
89	25834	81.293
90	22181	234.48
90	88	99.106
91	37143	150.406
91	11695	79.74199999999999
91	55033	112.888
92	5040	234.087
92	90	99.334
93	92	99.43299999999999
93	6222	117.19300000000001
93	54615	31.675
94	36	78.796
94	6499	86.108
94	54247	68.801
95	93	134.791
95	2988	236.965
95	2986	116.699
96	95	87.667
96	5043	234.864
96	24238	236.93
97	52610	329.223
97	40725	970.4370000000001
98	96	82.443
98	5044	237.138
99	49169	154.959
99	3424	79.862
99	54602	43.878
100	55153	80.004
100	5045	238.39499999999998
101	100	254.926
101	5049	228.413
101	26246	235.433
102	17267	229.824
103	17925	18.913
103	20178	144.776
104	103	23.828
104	17924	79.618
105	19940	57.114
106	104	149.90099999999998
106	20689	78.31099999999999
106	36049	100.853
107	50896	76.021
107	31646	144.834
107	1579	174.254
108	107	76.479
108	1581	175.938
109	108	64.214
109	26374	131.288
110	41802	168.412
110	35627	77.928
110	50005	86.101
111	109	76.433
111	1584	174.87
112	46263	102.741
112	47910	121.307
112	35627	111.86
113	111	67.304
114	24412	12.37
114	19346	71.857
115	114	288.471
115	19347	71.902
115	27282	81.567
116	115	277.426
116	19348	72.02
116	27285	81.256
117	118	78.501
117	44221	88.365
118	117	78.501
118	42917	135.794
118	124	78.412
119	116	261.445
119	19350	71.971
119	21903	64.874
120	37893	303.222
120	122	79.192
120	49021	78.954
121	119	31.879
121	19352	69.496
122	37895	295.914
122	34042	79.279
122	120	79.192
123	22362	64.809
123	19358	84.256
124	19840	77.39099999999999
124	52756	94.97399999999999
124	118	78.412
125	123	204.235
125	19361	87.304
125	27296	66.634
126	45088	157.212
127	129	81.95
127	31942	78.802
127	17964	158.104
127	28879	131.943
128	27825	62.195
128	22257	77.586
129	131	81.919
129	127	81.95
129	31698	152.779
129	17962	168.192
130	134	80.313
131	133	79.144
131	129	81.919
131	17961	168.445
131	25935	173.711
132	50118	31.582
132	1846	44.635999999999996
133	36215	79.175
133	131	79.144
133	7710	191.02
133	17960	178.688
134	48508	11.452
134	12068	98.02900000000001
134	130	80.31299999999999
135	54842	19.406
135	136	90.477
136	1112	11.136
136	138	19.38
136	135	90.47699999999999
137	42805	79.041
137	36215	79.063
137	17957	184.808
137	29574	213.831
138	136	19.38
138	44302	69.995
139	12402	50.769000000000005
139	11659	52.26
140	141	123.891
140	42805	79.624
140	48726	76.269
140	32244	77.786
141	140	123.891
141	48727	78.548
142	6804	150.643
142	41979	110.385
142	44345	77.548
143	29765	144.507
144	143	90.897
144	48699	103.679
145	36796	76.46
145	48702	152.394
146	33101	75.703
146	48704	149.649
147	146	43.562
147	33671	112.031
148	147	79.705
148	48707	140.877
149	148	78.926
149	16064	173.463
150	13762	123.772
150	41979	137.982
150	7605	88.46100000000001
151	149	75.688
151	48710	136.788
152	46861	75.655
152	48714	137.551
153	152	76.404
153	22902	147.321
154	153	76.127
154	48720	137.634
155	157	199.19299999999998
155	9148	382.867
156	9845	55.715
156	38316	44.881
156	46350	55.723
157	155	199.19299999999998
157	9149	22.735
158	159	146.711
158	27724	76.062
159	48606	76.296
159	161	223.566
160	163	202.474
160	32489	54.138999999999996
160	17316	87.02
160	25291	72.654
161	48607	76.683
161	164	75.873
162	17906	72.792
163	165	21.395
163	23673	24.568
164	105	19.418
165	167	184.405
165	17319	66.172
165	163	21.395
166	9132	110.69899999999998
167	170	77.241
167	6553	46.883
168	48481	35.834
169	172	258.344
169	21921	90.474
169	20549	90.293
170	171	99.453
170	17292	93.292
171	175	106.85
171	14236	96.287
171	14234	66.593
172	22148	90.257
172	174	184.93200000000002
172	22150	90.61
173	49672	129.796
173	18597	92.037
174	19960	92.673
174	3825	10.845
175	23674	70.992
175	177	198.36700000000002
176	29839	91.637
176	49672	98.987
176	31912	84.79
177	178	183.362
177	19154	39.411
177	19152	63.324
178	21948	75.996
178	179	184.697
179	27198	75.531
179	30590	34.144
180	182	237.56
180	245	32.247
180	14778	69.107
181	52401	79.11
181	34912	79.257
181	30485	193.275
182	5374	79.18
182	23950	82.204
183	12651	2720.456
184	52401	78.982
184	32484	186.38
184	187	81.809
185	30590	17.171
186	185	102.869
186	23662	68.566
186	16670	76.49
187	48632	184.919
187	33667	8.657
187	184	81.809
188	28032	12.813
188	28031	14.698
188	19714	227.59400000000002
188	22722	212.45200000000003
189	186	117.399
189	16674	75.934
190	192	81.476
190	48633	193.985
191	189	123.342
191	11026	68.342
192	39988	81.109
192	10730	198.797
193	28032	40.628
194	27627	2095.9639999999995
194	47556	104.431
195	35450	176.093
195	30659	80.45500000000001
196	54860	79.274
196	27707	80.143
197	7836	76.592
197	191	162.654
198	22725	82.015
198	28030	35.455000000000005
198	202	208.887
198	193	167.87599999999998
199	32357	6.378
199	34775	57.567
199	46631	114.53799999999998
200	19694	147.127
200	204	46.493
201	48278	714.5600000000001
202	198	208.88700000000003
202	207	257.597
202	26950	82.122
202	28027	79.94099999999999
202	29996	80.05
203	40880	113.318
203	30293	71.009
204	200	46.493
205	206	63.455
205	3581	173.94400000000002
206	209	82.901
206	205	63.455
206	17686	190.90299999999996
207	23982	81.218
207	213	223.411
207	202	257.597
207	26951	84.815
208	48031	223.349
208	48686	33.084
208	269	28.169
209	211	49.243
209	206	82.901
209	50761	86.251
210	212	84.015
210	37924	233.82
211	209	49.243
211	16113	112.51599999999999
212	214	72.746
212	210	84.015
212	1535	174.184
213	217	35.404
213	207	223.411
213	28014	184.105
214	42089	73.984
214	212	72.746
214	37930	276.522
215	46631	38.52
215	19438	70.39699999999999
215	33875	38.376999999999995
216	219	74.732
216	42089	72.761
216	37933	315.474
217	213	35.404
218	33504	194.215
218	19735	83.629
218	48410	85.438
219	222	77.885
219	216	74.732
219	1542	173.947
220	2584	400.595
220	23806	96.471
220	28008	276.144
221	12712	15.503
221	18631	25.987
221	229	56.795
222	224	92.666
222	219	77.885
222	1543	174.096
222	37949	317.32700000000006
223	26972	98.456
223	23806	12.298
223	225	258.632
224	52835	94.478
224	222	92.666
224	32440	67.338
225	50557	24.242
225	50558	31.345
225	15049	97.88
225	223	258.632
226	23956	82.069
226	26952	82.108
226	50558	229.00699999999998
226	228	261.397
227	54952	1655.2609999999995
228	26953	82.053
228	23957	82.11
228	238	126.725
228	226	261.397
229	221	56.795
229	20443	168.213
229	47119	29.431
230	231	77.609
230	52835	109.424
231	230	77.609
231	37962	270.269
231	45220	82.219
232	233	260.836
232	234	253.349
232	26956	81.89
232	23963	82.124
233	232	260.836
233	23961	81.972
233	238	134.093
233	26955	81.945
234	235	245.543
234	26958	82.053
234	232	253.349
235	23968	82.223
235	234	245.543
235	237	268.746
236	239	24.388
236	47119	21.436
236	13541	108.538
237	23971	82.142
237	244	132.34
237	26962	81.983
237	235	268.746
238	26590	101.549
238	23959	100.97999999999999
238	233	134.093
238	228	126.725
239	236	24.388
239	20448	290.96999999999997
240	243	21.65
240	45220	58.751
241	26964	82.061
241	23973	82.238
241	242	237.959
241	244	128.379
242	7107	82.054
242	7103	82.157
242	241	237.959
242	245	99.967
243	248	58.822
243	240	21.65
243	37977	260.145
244	9611	90.017
244	241	128.379
244	237	132.34
245	5372	46.385
245	180	32.247
245	242	99.967
246	11516	79.89
246	51233	13.332
246	1194	82.684
247	10807	78.121
247	47022	69.987
247	19438	71.763
247	255	62.584
248	251	77.685
248	243	58.822
248	1516	175.479
249	27254	128.039
249	21401	75.574
249	250	183.81
250	249	183.81
250	21402	83.013
250	1227	76.75899999999999
251	35833	79.029
251	248	77.685
251	1518	176.18
252	779	53.116
252	777	36.538
252	253	51.321999999999996
253	15753	80.322
253	14	143.617
253	779	38.005
254	52504	13.088
254	5187	101.637
254	3443	189.97500000000002
255	10806	73.52999999999999
255	47901	21.563
255	247	62.583999999999996
256	258	185.436
256	22609	81.922
256	22611	82.259
257	264	309.408
257	12377	113.767
258	261	226.592
258	17202	82.276
258	17203	82.05
259	260	117.059
260	262	155.188
260	259	117.059
260	22500	75.959
261	19712	82.207
261	746	56.892
261	15732	80.372
262	263	234.097
262	260	155.188
262	48581	76.389
263	262	234.097
263	48582	76.595
263	26316	76.565
264	13405	29.915
264	21618	80.927
265	22390	179.445
265	21877	162.738
265	21928	265.539
266	19030	146.346
266	106	77.31
266	270	79.47
267	33591	201.324
267	30185	76.141
268	271	165.72
268	9287	80.033
268	9810	78.859
269	33591	214.163
269	208	28.169
269	30315	48.269
270	28622	59.098
270	28621	142.621
270	274	79.155
270	266	79.47
271	268	165.72
271	9288	78.771
271	17035	78.466
271	276	84.076
272	19717	11.048
272	8233	207.946
272	11682	79.282
273	37948	31.56
273	37946	23.252
273	34363	17.308999999999997
274	19748	148.262
274	270	79.155
274	275	79.694
275	277	79.484
275	28402	144.982
275	274	79.694
276	278	103.911
277	19752	144.792
277	282	79.441
277	275	79.484
278	8986	53.752
279	280	77.52
279	50564	77.329
279	48654	291.296
280	283	83.24
280	279	77.52
280	26055	180.104
281	284	79.484
281	282	79.11
281	5717	146.012
281	5719	143.075
282	29926	145.836
282	281	79.11
282	277	79.441
282	30419	59.742
283	285	83.572
283	280	83.24
283	48658	294.01
284	281	79.484
284	16563	145.68200000000002
284	286	82.643
285	36377	78.97
285	283	83.572
285	17989	160.26600000000002
286	19755	143.03
286	295	82.462
286	284	82.643
287	3698	39.492
287	3729	23.381999999999998
287	288	25.115000000000002
288	40660	80.298
288	3729	23.771
289	291	106.069
289	4396	68.566
290	293	79.35
290	36377	79.297
290	18142	140.523
291	289	106.069
291	4391	38.688
291	22948	40.549
291	46742	60.333
292	39284	25.551
292	32426	73.935
293	299	82.421
293	290	79.35
293	48668	310.058
294	19758	142.845
294	301	237.55199999999996
294	295	79.57300000000001
295	28469	143.057
295	286	82.462
295	294	79.57300000000001
296	21874	2.734
296	23032	307.66400000000004
296	13017	138.69
297	1922	79.784
297	34091	78.68400000000001
298	40641	430.97999999999996
298	46674	45.613
299	42437	82.179
299	293	82.421
299	48670	316.318
299	13385	113.561
300	48988	34.606
300	6652	107.556
301	29928	143.315
301	294	237.552
301	306	82.935
302	300	146.666
302	17422	87.206
302	25423	108.617
303	50353	78.31099999999999
303	42437	80.023
303	48673	316.61100000000005
304	40641	85.908
304	309	83.23500000000001
304	4597	90.97200000000001
304	4599	72.963
305	302	130.032
305	17423	88.469
305	26095	108.951
306	307	82.583
306	301	82.935
306	19762	142.965
306	29932	143.132
307	313	79.44200000000001
307	306	82.583
307	24286	143.131
308	52782	38.477000000000004
309	13111	60.876999999999995
309	314	77.519
309	304	83.235
310	16177	76.537
310	305	155.363
311	50353	78.753
311	26759	79.842
311	29056	98.634
311	48676	317.575
312	310	160.31
312	54252	106.513
313	19764	142.837
313	316	79.452
313	307	79.44200000000001
314	52486	182.51
314	52887	82.753
314	309	77.519
315	312	220.987
315	14224	78.108
315	14221	106.334
316	28181	143.017
316	313	79.452
316	11211	82.493
317	38007	17.871
317	12633	54.69
317	38006	28.465
318	317	140.985
318	38013	87.839
319	315	100.504
319	24215	106.368
320	319	188.349
320	16907	50.479
321	320	47.386
321	16908	59.789
322	16910	61.285
322	321	131.821
322	21941	124.55099999999999
323	38016	155.51799999999997
323	318	94.369
324	322	77.176
324	10584	61.047
325	48592	93.167
325	25451	121.049
325	39186	80.988
326	15377	121.496
326	325	107.697
327	48597	106.791
327	326	173.36
328	30863	120.517
328	327	185.78199999999998
329	25321	143.305
329	335	79.662
329	11211	77.955
330	324	77.5
330	14921	137.768
331	19976	72.132
331	328	80.221
332	3034	119.94200000000001
332	48615	111.50200000000001
332	331	91.55
333	5758	223.053
333	332	157.985
334	330	76.083
335	19731	142.663
335	339	79.583
335	329	79.662
336	31994	49.492
337	30655	108.587
337	47233	77.652
338	37710	21.238
338	48561	104.901
339	22476	142.982
339	347	79.331
339	335	79.583
340	21180	24.813
340	334	76.446
340	25153	135.125
341	32194	84.833
341	338	139.929
342	341	81.90799999999999
342	8533	94.732
343	342	82.222
343	48572	102.095
344	345	80.234
344	347	79.441
344	28607	143.27200000000002
345	353	10.428
345	19736	140.666
345	344	80.234
346	21182	59.378
346	21180	47.15
346	340	29.381
346	349	75.155
347	19733	142.702
347	344	79.441
347	339	79.331
348	42629	37.239
348	43778	94.459
348	48576	101.382
349	17432	146.488
349	20070	51.787
350	351	48.162000000000006
350	42034	46.604
350	53111	22.578
350	44833	27.576
351	52328	72.078
351	350	48.162
351	44833	60.694
352	349	126.05799999999999
352	28229	136.17
353	345	10.428
353	53231	47.403
353	53234	130.27100000000002
354	19671	110.553
354	352	136.678
354	31388	155.315
355	356	38.196
355	37898	272.779
356	355	38.196
357	53702	70.517
357	37995	177.472
358	361	80.146
358	53523	81.202
358	23089	102.327
359	43607	86.544
359	12029	172.35
359	52328	78.34599999999999
360	52497	87.059
360	370	37.624
360	43607	44.112
361	43370	97.469
361	54757	86.125
361	358	80.146
362	21136	75.63
362	22034	101.957
362	45520	34.809
363	34874	25.345
363	364	15.407
364	29064	90.461
364	30921	112.91900000000001
365	33588	201.616
365	30183	74.66
366	35125	66.986
366	367	80.314
366	17621	105.782
366	25161	100.06099999999999
367	366	80.314
368	45521	24.718
369	27721	103.821
369	30169	76.295
370	14346	234.5
370	360	37.624
370	37554	79.719
371	43368	55.894
371	54757	77.515
371	375	67.909
372	3689	57.711
372	51936	272.451
372	381	118.913
372	45113	82.10999999999999
373	50169	74.259
373	45167	23.279
373	35323	115.845
374	6245	77.085
374	10951	131.39
375	22230	58.696
375	371	67.909
376	374	50.491
376	6240	63.025
376	6245	54.340999999999994
377	28631	170.79
377	376	145.734
377	7670	154.684
378	377	82.35
379	378	60.599
379	21148	142.377
379	25727	217.713
380	17330	91.411
380	7838	239.131
380	24373	257.451
381	3687	80.788
381	388	35.346
381	372	118.913
382	387	88.571
382	38408	79.684
384	15545	271.267
385	28633	155.78300000000002
385	21151	125.77499999999999
385	379	146.142
386	385	110.13
387	28081	78.454
387	35606	128.439
388	13523	36.611
388	35753	47.677
388	381	35.346
389	28082	79.36500000000001
389	35606	143.403
390	17099	105.262
390	386	82.434
390	17095	113.391
391	27924	127.53500000000001
391	25936	281.817
392	7722	91.457
392	7720	108.492
392	390	188.94099999999997
393	49577	17.401
394	25828	106.347
394	392	201.279
395	399	200.24
395	35771	94.45600000000002
395	39701	246.5
396	19645	41.154
397	14770	75.894
398	394	275.583
398	5830	100.512
399	34627	177.52499999999998
399	395	200.23999999999998
399	35774	88.04799999999999
399	28076	78.88600000000001
400	11717	874.276
400	412	88.209
400	40372	97.79299999999999
400	49833	176.855
401	404	142.589
401	9406	76.856
401	35777	79.57600000000001
402	42389	54.658
402	398	102.105
402	18759	106.59
403	17035	75.291
403	21848	5.107
403	406	23.92
404	35778	77.977
404	407	171.042
405	402	176.529
405	19080	126.334
406	403	23.92
407	23641	76.858
407	410	170.679
408	411	51.131
408	32632	39.063
408	32631	42.590999999999994
409	17415	88.825
409	405	148.816
409	26088	108.297
410	415	176.69299999999998
410	32247	79.042
411	48223	135.817
412	13279	137.942
412	49831	82.958
412	400	88.209
413	11111	88.006
413	409	165.742
414	32058	232.413
414	32010	802.4110000000001
415	28078	78.124
416	14780	107.506
416	413	163.435
417	54202	74.178
417	15150	185.0
417	46260	102.727
418	16301	87.959
418	416	168.077
419	35738	80.207
419	28067	79.039
420	13901	66.974
420	24525	12.049
420	427	223.39600000000002
421	35739	80.157
421	24519	78.52499999999999
421	419	267.087
422	6658	88.185
422	46260	30.731
422	423	79.344
423	6668	71.096
423	34920	106.13000000000001
423	422	79.34400000000001
424	8173	79.018
424	35740	79.449
424	421	276.804
425	426	129.508
425	12800	64.19
425	50809	31.678
426	425	129.508
426	12804	63.805
426	50811	75.998
426	428	170.082
427	13907	9.881
427	420	223.39600000000002
427	15067	70.84700000000001
428	430	152.5
428	12806	63.712
428	50812	76.793
428	426	170.082
429	10080	79.227
429	35743	78.96900000000001
429	424	267.788
430	428	152.5
430	50815	78.143
430	12811	82.31200000000001
431	20159	79.071
431	35617	225.80200000000002
432	459	34.145
432	9929	84.588
433	432	70.672
434	433	91.47
435	51034	121.684
435	437	157.34700000000004
435	52194	75.997
436	434	40.623
436	9931	78.691
436	8212	79.095
437	10316	103.077
437	12016	208.29300000000003
437	50418	80.40899999999999
437	435	157.347
438	440	223.377
439	431	60.567
439	32239	79.125
440	53553	51.311
440	54443	48.427
440	14388	79.986
440	438	223.377
441	436	230.072
441	9940	79.906
441	8221	79.329
442	441	155.666
442	9943	79.28
443	446	243.913
443	10857	80.333
443	53557	112.898
443	10855	98.77499999999999
444	47772	77.558
444	50489	83.864
445	54708	54.654
445	51397	80.461
445	11210	168.271
446	16813	78.672
446	50857	239.492
447	453	29.118
447	7057	79.201
447	24240	122.809
448	48768	54.706
448	450	174.533
448	54708	152.45
449	23131	1201.8220000000003
450	6333	60.101
450	44716	137.009
450	6337	199.603
450	448	174.533
451	40927	100.29
452	6205	17.404
453	447	29.118
453	30192	64.515
453	458	61.376000000000005
454	39136	236.199
454	49729	137.463
454	33128	82.397
454	2363	83.265
455	767	116.548
455	465	87.10600000000001
455	42895	79.658
456	45065	179.865
456	39136	186.349
456	33130	82.284
456	2365	82.396
457	48037	161.981
458	25734	57.358
458	459	65.10600000000001
458	453	61.376000000000005
459	432	34.145
459	458	65.106
459	17902	23.403
460	3853	55.943
460	3850	102.41900000000001
461	460	83.81
461	3853	61.594
461	462	120.109
461	27594	175.397
462	25625	84.585
462	463	103.77
462	461	120.109
463	462	103.77
463	3856	218.436
463	466	33.619
464	30683	125.635
464	829	12.535
464	33164	78.32900000000001
465	477	61.434999999999995
465	455	87.106
465	1855	108.925
466	27599	51.461
466	470	65.614
466	27596	27.256999999999998
466	463	33.619
467	33064	475.56800000000004
467	54926	32.967
468	829	98.886
468	9856	75.022
468	40911	138.388
469	24259	188.85899999999998
469	449	415.92699999999996
470	471	100.531
470	466	65.614
470	52268	175.60899999999998
471	25097	101.321
471	470	100.531
471	473	99.311
472	33324	78.762
473	52274	34.96
473	52273	25.355
473	471	99.311
474	45286	75.962
474	476	74.862
475	25252	86.49
475	452	87.58199999999998
476	474	74.862
476	9854	80.336
476	49743	326.596
477	465	61.434999999999995
477	49669	111.422
477	55149	58.263000000000005
478	479	94.528
478	51920	199.956
478	53686	73.936
479	481	94.701
479	478	94.528
479	25597	88.486
480	55149	53.694
480	12599	126.99199999999999
480	484	213.85999999999999
481	479	94.701
481	51922	97.36
481	55020	96.84199999999998
482	451	11.489
482	39815	178.781
483	485	94.468
483	51926	9.718
483	26833	231.29000000000002
484	35870	17.797
484	30158	166.943
484	480	213.85999999999999
485	486	93.779
485	483	94.468
485	51933	56.481
486	488	94.93
486	485	93.779
486	26838	130.374
487	490	30.753
488	492	93.447
488	486	94.93
488	51927	158.547
489	475	106.55399999999999
489	29271	96.72
490	487	30.753
490	51632	80.073
490	33167	174.08100000000002
491	495	34.479
491	492	57.346
491	25055	30.338
492	491	57.346
492	488	93.447
492	26844	28.252
493	51149	296.12699999999995
493	50764	79.59
493	53368	95.35
494	33172	172.485
494	39115	79.87
494	10930	186.747
495	496	89.297
495	491	34.479
495	25055	16.739
496	497	88.027
496	495	89.297
496	13481	181.206
497	496	88.027
497	500	89.005
497	26849	95.142
498	499	60.486
499	32790	118.332
499	498	60.486
499	33148	79.476
499	2348	79.379
500	51515	89.302
500	26148	102.878
500	497	89.005
501	502	12.246
501	43502	82.337
502	501	12.246
502	505	34.816
503	505	12.164
503	501	35.933
504	35178	273.714
504	32790	65.635
504	33149	79.361
504	2352	79.379
505	503	12.164
505	35957	29.316
506	35957	12.045
506	503	28.214
507	506	32.103
507	35422	38.367999999999995
508	507	23.345
508	35422	43.458
509	33305	237.238
509	35178	242.331
509	33152	79.259
509	2354	79.379
510	24752	21.007
510	489	69.047
511	51515	91.502
511	28691	22.805
511	41519	51.123
511	26853	214.64
512	9902	18.172
512	516	87.123
512	41519	41.577
513	50040	23.335
513	13570	81.12899999999999
513	36390	55.205
514	515	20.195
514	32544	216.942
514	20704	27.264
514	30668	77.014
515	514	20.195
515	519	157.909
515	33156	79.73700000000001
516	521	88.008
516	512	87.123
516	11000	181.827
517	518	167.41099999999997
517	41473	95.521
518	50758	244.719
518	51989	20.07
518	517	167.411
519	515	157.909
519	33158	79.583
519	41633	58.85
519	41719	72.77
520	523	172.773
520	26042	82.891
520	12399	69.06200000000001
521	525	87.934
521	516	88.008
521	32757	63.257
521	28694	94.33699999999999
522	41719	13.572
522	17219	21.522
522	41615	30.922000000000004
522	41720	19.709
522	17218	20.451
523	527	171.134
523	520	172.773
523	10488	82.996
523	10486	83.873
524	7944	45.131
524	55207	634.5590000000001
524	51989	255.198
525	12096	95.382
525	521	87.934
525	25564	106.45
526	41684	120.491
526	33133	89.078
526	530	92.28800000000001
527	533	96.929
527	523	171.134
527	21839	82.917
527	12403	100.065
528	16206	106.471
528	47725	248.426
529	44818	67.792
530	33195	91.425
530	532	103.875
530	526	92.28800000000001
530	51954	103.80199999999999
531	534	12.96
531	529	36.409
532	33196	102.811
532	34983	114.402
532	530	103.875
533	536	87.067
533	527	96.929
533	9282	87.115
533	9280	110.614
534	531	12.96
534	20951	143.551
535	33127	93.354
535	34983	44.615
535	35055	60.981
536	540	85.957
536	533	87.067
536	9812	176.965
536	12409	93.73400000000001
537	4361	54.328
537	18894	26.656
537	29484	56.382
537	12101	29.821
538	52013	94.745
538	541	45.251
538	29484	47.76
539	33124	107.287
539	52373	60.253
539	35055	18.004
540	545	78.929
540	536	85.957
540	9815	150.609
540	12410	127.83
541	542	85.952
541	538	45.251
541	20495	58.185
542	13764	141.214
542	548	88.754
542	541	85.952
543	9991	277.649
543	544	77.098
543	52373	77.294
544	9996	286.44
544	547	25.995
544	543	77.098
545	549	74.401
545	540	78.929
545	4785	154.188
545	4788	174.98
546	2809	308.4030000000001
546	42291	70.728
547	33125	91.607
547	550	51.542
547	544	25.995
548	553	88.226
548	542	88.754
548	10696	135.974
549	552	79.973
549	545	74.401
549	12414	155.52
549	9819	242.471
550	27176	197.111
550	554	67.336
550	547	51.542
551	47093	76.93
551	29525	80.898
551	27098	201.30100000000002
551	38890	200.98400000000004
552	549	79.973
552	12416	155.456
553	13765	62.608
553	548	88.226
553	556	87.672
554	550	67.336
554	555	77.575
554	52666	278.857
555	33483	513.539
555	554	77.575
555	560	115.94999999999999
556	558	62.541
556	16170	211.96299999999997
556	553	87.672
557	26797	23.017
557	26794	19.303
557	30768	101.244
558	559	25.021
558	556	62.541
558	9024	23.935
558	13768	55.878
559	561	89.477
559	558	25.021
559	9026	251.58
560	30701	220.271
560	4498	8.903
560	33160	78.89
561	562	95.378
561	559	89.477
561	13767	52.656
562	12254	94.745
562	561	95.378
562	19172	169.471
562	13769	94.956
563	43298	185.322
563	5225	11.466
563	50572	79.889
564	7179	17.184
564	594	101.352
564	23852	40.185
565	7191	13.376
565	24545	131.624
565	577	238.608
566	575	89.1
566	12254	87.885
566	10477	90.34
567	43303	180.861
567	570	84.021
568	4534	1046.0599999999997
569	2518	12.569
569	23845	66.45
570	33189	81.69
570	36394	194.507
570	35663	87.12400000000001
570	5230	169.00699999999998
571	2095	88.345
571	54189	126.20500000000001
572	582	79.42999999999999
572	573	31.104
573	2581	143.297
573	572	31.104
573	574	121.67599999999999
574	579	14.245
574	7174	74.713
575	576	88.393
575	566	89.1
575	13772	214.325
576	578	26.013
576	575	88.393
